source,date,rating,text
yelp,2025-11-12,5,"Starbucks Reserve Roastery Chicago is a landmark Starbucks location that contains a full bar, restaurant, grab and go gift shop, and of course Starbucks drinks. It's a tourist destination that I didn't mind getting trapped in. I spent my time on the 3rd floor, where a full, epic bar was the center piece and beckoned me to grab a seat. I grabbed an open seat at the bar, and the bartenders gave me a menu. Unlike most Starbucks, I could order food and alcohol-based coffee drinks. The best part of sitting at the bar was watching the bartenders expertly craft each drink. I ordered the Cold Brew Spiced Rum. This beautiful drink was served cold with a single clear ice cube. The drink was slightly sweet and spiced and it was paired perfectly with an Olive Oil cake."
yelp,2025-12-19,5,"I've been here multiple times for their espresso martini flights! They have a fantastic espresso martini that is not overpoweringly coffee flavored or sweet. It's this perfect balance. The flights are fun because you get to try some unique flavors. They have a fall and holiday one that features their classic martini with seasonal flavors. This is a great place to take anyone visiting because the reserve is the largest Starbucks in the world and each floor does provide something unique. There's a small outdoor rooftop for the nicer days. Tip: it's better to come here during the weekday vs weekend because the weekends have huge lines and it's harder to get to the bar!"
yelp,2025-11-13,4,"Visually stunning. The massive copper machinery, the soaring ceilings, and the constant sound of beans roasting make it feel grand and energetic. It's a fantastic spot for people-watching or a unique date by their fireplace! The coffee selection is incredible, featuring rare selected small-lot Reserve beans and unique preparation methods. Coffee and pastry items from around the world. They also have a full bar and excellent, high-quality artisanal food. You watch the entire process, from green bean to cup. The staff are highly knowledgeable and passionate. I tried their recommended Prosciutto Parmigiano-Regianno on herb Cornetto it was scrumptious, with Tiramisu Latte. Everything is significantly more expensive than a regular Starbucks. It can get extremely busy and noisy, making it difficult to find a seat or a quiet moment."
yelp,2025-11-05,5,"LOVELY TIME HERE. I'm not the biggest coffee drinker, actually I used to drink a cup a day but quit a few months ago! However, I knew that I NEEDED to try the espresso martini flight at the Starbucks Reserve Roastery. It was delightful to say the least, my favorite out of the three flavors (orange cacao, mole spice, and cherry limone) was the orange cacao! I also couldn't resist and ordered the matcha margarita...it was so delicious, I honestly would be satisfied if I just got that! For snacks, I got the tiramisu (DELISH) and pear almond tart (it was okay). If you are planning on going here, please know that it gets super busy and seating is limited. If you are wanting to try out their drinks, it is on the fourth floor! Anything below the fourth floor do not sell alcoholic drinks."
yelp,2026-03-09,3,"Surprisingly, there was no line here at 2 PM. I ordered directly from the barista and waited no more than eight minutes. The pistachio cookie was delicious. Assaulted caramel latte was delicious. It was a little sweet, but I do like my Starbucks drinks sweet."
yelp,2025-12-02,5,"Living the experience of visiting one of the few Starbucks Reserve locations in the world was truly incredible. Despite the large crowds, the service was fast, the atmosphere was warm, and that coffee-infused air filled with rich aromas was simply delicious. I would absolutely go back; this time with more calm, taking my time to enjoy every detail on each of the five floors. The only downside was that the rooftop terrace was closed due to the winter season having already begun."
yelp,2025-11-22,3,"I came here many times and have liked the window-side seats. I think you mostly pay for the view and location at this roastery. I've tried: ICED CARAMEL BRULEE EGGNOG LATTE (newest drink in fall/winter 2025): tooooooooo sweeeeeeeeet. the color-changing tea experience: tea was meh. matcha float: was alright, slightly too sweet. but for $15 honestly... taro sakura drink: this was the most decent seasonal drink I've had. Regular menu: bianca mocha latte: very good, smooth and nutty. whisky coffee flight: I liked the lemon one best. Ambiance and service: It can get very crowdy during weekends. Baristas were mostly nice. Security downstairs can be very pushy when it's around the closing time."
yelp,2026-01-28,5,"Was in town and had to stop by the Starbucks Reserve even if the temperatures outside were not my favorite. We walked in and were greeted immediately and offered a sample coffee. They had a retail area with some items for purchase. We took the escalator up to the 2nd floor where they had more food and drink options. The kids all picked a snack, but went to the 3rd floor to get some of the specialty drinks. The adults then ventured up to the 4th floor for the cocktail options. We found seating on the 3rd floor and all hung out for a bit enjoying the different items. The tiramisu martini and the matcha margarita were my favorites!! Such a great hang out for a group to enjoy and get out of the cold weather!"
yelp,2025-10-27,5,"The Starbucks Reserve Roastery in Chicago is truly out of this world! Spread across five stunning floors. Service: The staff were warm, friendly, and knowledgeable. They took their time explaining the different specialty drinks and pastries unique to this location. Food: I tried the Chocolate Hazelnut Cornetto paired with a Cold Brew Malt topped with caramel drizzle both were incredible! Ambience: The atmosphere is simply amazing. We sat on the third floor, enjoyed the view, and just relaxed all afternoon."
yelp,2025-10-17,5,"This place is amazing! Love these reserve locations. They have unique items, drinks, and decor at each location. At this specific location, they have 5 levels including the rooftop terrace when beautiful weather permits. The 4th floor is where you can get cocktail service. Espresso martini was delicious. I also opted for a flight of coffee. Cold brew was smooth and creamy. Of course, affogato is a must for those ice cream and shots lovers."
yelp,2025-11-14,5,"Came at night for a couple espresso martinis with my friends and they were SO GOOD. We were really excited to try the fall flavors, and we ended up ordering a couple of the flights. We got the Pumpkin Spice Cocktail flight and wow they were so good! My favorite was definitely the Pumpkin Spice Espresso Martini and then the Pumpkin Spice Whiskey Barrel. I ended up going back to order a full size Pumpkin Spice Espresso Martini for myself after I finished it. We came at like 8pm on a Saturday and were able to get our drinks quickly and find somewhere to sit."
yelp,2025-10-31,5,"This truly is such an awesome, unique Starbucks experience!! On level 4, there's a cocktail bar - which is what we primarily visited when we came. There was quite the long line to order, but it moves relatively quickly and we were able to get our food and drink items and find seating along the bar. I went for the Espresso Martini Flight and one of their seasonal Matcha Swirl Butterfly cakes - we also got an Ube Espresso Martini and some of the Margherita Flatbread. Everything we had was great!! My Espresso Martini Flight had great subtle notes of different flavors - with one being a bit citrusy and orange-y, while another was a bit spicier with some mole. On the ground floor is a large gift shop area, where I bought a few souvenir items."
yelp,2025-10-31,4,"I first visited the Roastery during COVID, but most of the floors were closed, so we had to come back for a second visit. It was busy on every floor, so we ended up on the top level, where they serve alcoholic beverages and subtly deter away families with little ones. I saw the seasonal Pumpkin Spice Espresso Martini and had to try something new. It was delicious and surprisingly strong which made it definitely worth the price."
